VideoID,VideoLink,ChannelID,ChannelName,ChannelType,VideoTitle,Likes,Subscribers,Views,PublishTime,Duration,Comments
AJIEr6WrHc8,https://www.youtube.com/watch?v=AJIEr6WrHc8,UCbXSHNop_NUvU-smlLoImng,Lương Y Nguyễn Thị Nghê - Chữa Bệnh Tiểu Đường,Personal,đái tháo đường type 2|tiểu đường type 2,0,2820,29,2019-07-30T04:53:58Z,4M44S,0
cDW-QCgVPdM,https://www.youtube.com/watch?v=cDW-QCgVPdM,UCxvctjbE6nZX0ZyAB6JktSg,Phước Hưng,Personal,Đái tháo đường type 1,0,485,28,2018-04-05T13:26:28Z,2M15S,0
CpindGyeVJI,https://www.youtube.com/watch?v=CpindGyeVJI,UCr_mAwRy5xIBQGi6fKaTyyw,Việt Lê Pharma,Personal,Có phải ăn quá nhiều đường gây ra bệnh tiểu đường?,58,7750,521,2020-07-21T09:46:22Z,2M46S,4
EdTLSlhKazU,https://www.youtube.com/watch?v=EdTLSlhKazU,UCyyBwmLwgobr9-CSU9JuX3w,THS BS PHAN ANH TUẤN OFFICIAL,Organization,ĐƯỜNG HUYẾT TĂNG ảnh hưởng đến TẾ BÀO như thế nào? #shorts #thsbsphananhtuanofficial,13,7070,326,2023-10-01T11:30:06Z,45S,0
WA0FeZwus80,https://www.youtube.com/watch?v=WA0FeZwus80,UCxnBkraHxDb9k8jPErySvig,Lối Sống Xanh,Personal,Bệnh Tiểu Đường Có Chữa Khỏi Được Không? Sự Thật Là Gì?,1,1560,108,2025-05-22T12:30:41Z,5M12S,0
QOjXCfWgscQ,https://www.youtube.com/watch?v=QOjXCfWgscQ,UCbXSHNop_NUvU-smlLoImng,Lương Y Nguyễn Thị Nghê - Chữa Bệnh Tiểu Đường,Personal,Lương Y Nghê kham cho bệnh nhân bị tiểu đường 8.0 |đái tháo đường type 1,0,2820,6,2019-07-30T07:43:22Z,4M52S,0
YfuWjEYonDw,https://www.youtube.com/watch?v=YfuWjEYonDw,UCDYBoHKSJRywQ4kPytx3G-A,Sức Khỏe 1001,Personal,Trước Khi Đi Ngủ Người Tiểu Đường Phải Làm Ngay Điều Này Nếu Không Muốn Đường Huyết Tăng Đột Biến,42,103000,4775,2021-09-19T10:45:00Z,12M12S,1
0FkkdZkfPKE,https://www.youtube.com/watch?v=0FkkdZkfPKE,UC-HrsAwNy1PinPWiNnY7dSw,Dr Huyền Vũ,Personal,ADA2015 (Phần 5) Các trường hợp lâm sàng Đái Tháo đường type 2,15,358,74,2019-04-08T02:46:20Z,1H9M13S,0
7P12gfDDIYM,https://www.youtube.com/watch?v=7P12gfDDIYM,UCKyQQclDWCE1t9lwCi_caTQ,    JACK TRAN,Personal,Quan Niệm Bảo Vệ Sức Khỏe cho Bệnh Nhân Tiểu Đường Type 1 và Type 2,1,687,22,2023-04-15T08:05:39Z,58M15S,0
NeX4EhgYN98,https://www.youtube.com/watch?v=NeX4EhgYN98,UCE1rNrXF8ukRx3hplmNPPtQ,HLV Kiểm Soát Cân Nặng,Personal,Bệnh tiểu đường type 2,2,1550,54,2020-04-12T13:00:14Z,2M41S,0
TWxm74pMOOA,https://www.youtube.com/watch?v=TWxm74pMOOA,UCbWOIiMySA3eZco0NnPk_fg,Dược phẩm Trường Anh,Personal,Soliqua - Thuốc điều trị đái tháo đường type 1 - Quaythuoctruonganh,0,3590,40,2024-02-19T08:54:23Z,3M56S,0
7qylb3y0RHY,https://www.youtube.com/watch?v=7qylb3y0RHY,UCvtNAAvMLnpcDFSUOSI_itA,Libby Glass,Personal,POV : life with type 1 diabetes (is this accurate ❤️) #diabetesawareness #diabetestype1 #awareness,84204,867000,1455798,2023-10-17T20:19:06Z,29S,2119
I0u-FLtg0qA,https://www.youtube.com/watch?v=I0u-FLtg0qA,UCPh24H5ATTcY47o4J1NSrAg,WH Circle,Personal,Sữa cho người tiểu đường Nutifood varna diabetes,4,72,1112,2022-03-27T20:00:07Z,31S,4
IDEK-dmypMc,https://www.youtube.com/watch?v=IDEK-dmypMc,UCM9I-aFPJof-u4g0YXMkDLA,Dược Liệu Pù Mát,Personal,"Dây thìa canh lá to ổn định đường huyết, ngăn ngừa biến chứng tiểu đường#tratuiloc #tra #daythiacanh",1,64,230,2025-01-06T09:39:17Z,27S,0
